"id","name","equipment","pattern","prompt"
"db-fly","Dumbbell Fly","dumbbell","lateral_raise","Dumbbell Fly: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-curl","Dumbbell Curl","dumbbell","curl","Dumbbell Curl: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"hammer-curl","Hammer Curl","dumbbell","curl","Hammer Curl with a dumbbell: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-incline-curl","Incline Dumbbell Curl","dumbbell","incline_press","Incline Dumbbell Curl: on an inclined bench pressing the weight up and back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-concentration-curl","Concentration Curl","dumbbell","curl","Concentration Curl with a dumbbell: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"zottman-curl","Zottman Curl","dumbbell","curl","Zottman Curl with a dumbbell: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-preacher-curl","Dumbbell Preacher Curl","dumbbell","curl","Dumbbell Preacher Curl: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-overhead-extension","Dumbbell Overhead Extension","dumbbell","generic","Dumbbell Overhead Extension: performing the strength exercise with correct form. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-skull-crusher","Dumbbell Skull Crusher","dumbbell","triceps","Dumbbell Skull Crusher: extending the elbows to straighten the arms, triceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-tricep-kickback","Dumbbell Tricep Kickback","dumbbell","triceps","Dumbbell Tricep Kickback: extending the elbows to straighten the arms, triceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"goblet-squat","Goblet Squat","dumbbell","squat","Goblet Squat with a dumbbell: deep squat, knees bent, hips at or below parallel, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-bulgarian-split-squat","Bulgarian Split Squat","dumbbell","lunge","Bulgarian Split Squat with a dumbbell: in a lunge, one knee lowered toward the floor, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-lunge","Dumbbell Lunge","dumbbell","lunge","Dumbbell Lunge: in a lunge, one knee lowered toward the floor, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-step-up","Dumbbell Step Up","dumbbell","lunge","Dumbbell Step Up: in a lunge, one knee lowered toward the floor, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-romanian-deadlift","Dumbbell Romanian Deadlift","dumbbell","hinge","Dumbbell Romanian Deadlift: hinging at the hips, hips pushed back, slight knee bend, weight lowered along the thighs, flat back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-deadlift","Dumbbell Deadlift","dumbbell","deadlift","Dumbbell Deadlift: lifting a loaded barbell from the floor, flat back, hips and knees extending. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-calf-raise","Dumbbell Calf Raise","dumbbell","calf_raise","Dumbbell Calf Raise: up on the toes, heels lifted high, calves contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-shrug","Dumbbell Shrug","dumbbell","shrug","Dumbbell Shrug: standing, shoulders shrugged straight up toward the ears. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-upright-row","Dumbbell Upright Row","dumbbell","lateral_raise","Dumbbell Upright Row: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-thruster","Dumbbell Thruster","dumbbell","overhead_press","Dumbbell Thruster: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-renegade-row","Renegade Row","dumbbell","row","Renegade Row with a dumbbell: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-side-bend","Dumbbell Side Bend","dumbbell","generic","Dumbbell Side Bend: performing the strength exercise with correct form. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-wrist-curl","Dumbbell Wrist Curl","dumbbell","curl","Dumbbell Wrist Curl: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-swing","Kettlebell Swing","kettlebell","kettlebell_swing","Kettlebell Swing: swinging a kettlebell up to chest height with straight arms, hips snapping forward. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-goblet-squat","Kettlebell Goblet Squat","kettlebell","squat","Kettlebell Goblet Squat: deep squat, knees bent, hips at or below parallel, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-front-squat","Kettlebell Front Squat","kettlebell","front_squat","Kettlebell Front Squat: barbell racked on the front of the shoulders, deep upright squat. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-deadlift","Kettlebell Deadlift","kettlebell","deadlift","Kettlebell Deadlift: lifting a loaded barbell from the floor, flat back, hips and knees extending. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-clean","Kettlebell Clean","kettlebell","olympic","Kettlebell Clean: explosively catching a barbell overhead in a wide athletic stance. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-snatch","Kettlebell Snatch","kettlebell","olympic","Kettlebell Snatch: explosively catching a barbell overhead in a wide athletic stance. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-press","Kettlebell Press","kettlebell","bench_press","Kettlebell Press: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-row","Kettlebell Row","kettlebell","row","Kettlebell Row: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-lunge","Kettlebell Lunge","kettlebell","lunge","Kettlebell Lunge: in a lunge, one knee lowered toward the floor, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"kettlebell-thruster","Kettlebell Thruster","kettlebell","overhead_press","Kettlebell Thruster: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"turkish-get-up","Turkish Get-Up","kettlebell","generic","Turkish Get-Up with a kettlebell: performing the strength exercise with correct form. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"leg-press","Leg Press (Sled)","machine","leg_press","Leg Press (Sled) with a machine: seated on a leg-press machine pushing a weighted sled with both feet. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"leg-press-horizontal","Leg Press (Horizontal)","machine","leg_press","Leg Press (Horizontal) with a machine: seated on a leg-press machine pushing a weighted sled with both feet. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"vertical-leg-press","Vertical Leg Press","machine","leg_press","Vertical Leg Press with a machine: seated on a leg-press machine pushing a weighted sled with both feet. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"hack-squat","Hack Squat","machine","leg_press","Hack Squat with a machine: seated on a leg-press machine pushing a weighted sled with both feet. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"smith-squat","Smith Machine Squat","machine","squat","Smith Machine Squat: deep squat, knees bent, hips at or below parallel, torso upright. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"smith-bench-press","Smith Machine Bench Press","machine","bench_press","Smith Machine Bench Press: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"smith-shoulder-press","Smith Machine Shoulder Press","machine","overhead_press","Smith Machine Shoulder Press: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"smith-row","Smith Machine Row","machine","row","Smith Machine Row: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"leg-extension","Leg Extension","machine","leg_extension","Leg Extension with a machine: seated, straightening the legs against a padded lever. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"seated-leg-curl","Seated Leg Curl","machine","leg_curl","Seated Leg Curl with a machine: curling the heels toward the glutes against a padded lever. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"lying-leg-curl","Lying Leg Curl","machine","leg_curl","Lying Leg Curl with a machine: curling the heels toward the glutes against a padded lever. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"calf-raise","Standing Calf Raise","machine","calf_raise","Standing Calf Raise with a machine: up on the toes, heels lifted high, calves contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"seated-calf-raise","Seated Calf Raise","machine","calf_raise","Seated Calf Raise with a machine: up on the toes, heels lifted high, calves contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"hip-adduction","Hip Adduction","machine","generic","Hip Adduction with a machine: performing the strength exercise with correct form. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"hip-abduction","Hip Abduction","machine","generic","Hip Abduction with a machine: performing the strength exercise with correct form. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"glute-kickback-machine","Glute Kickback (Machine)","machine","triceps","Glute Kickback (Machine): extending the elbows to straighten the arms, triceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"chest-press","Machine Chest Press","machine","bench_press","Machine Chest Press: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-chest-fly","Pec Deck Fly","machine","lateral_raise","Pec Deck Fly with a machine: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-shoulder-press","Machine Shoulder Press","machine","overhead_press","Machine Shoulder Press: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-lateral-raise","Machine Lateral Raise","machine","lateral_raise","Machine Lateral Raise: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-rear-delt-fly","Machine Rear Delt Fly","machine","lateral_raise","Machine Rear Delt Fly: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-row","Machine Row","machine","row","Machine Row: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-bicep-curl","Machine Bicep Curl","machine","curl","Machine Bicep Curl: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-preacher-curl","Machine Preacher Curl","machine","curl","Machine Preacher Curl: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-tricep-extension","Machine Tricep Extension","machine","triceps","Machine Tricep Extension: extending the elbows to straighten the arms, triceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"machine-dip","Machine Dip","machine","dip","Machine Dip: supported on parallel bars, lowering and pressing the body up, elbows bent. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
